Sample_id,Sample_label
1,9
2,9
3,5
4,1
5,1
6,5
7,9
8,1
9,5
10,2
11,5
12,4
13,1
14,1
15,4
16,4
17,7
18,1
19,6
20,2
21,2
22,6
23,4
24,2
25,1
26,4
27,2
28,8
29,5
30,5
31,4
32,1
33,2
34,1
35,4
36,4
37,5
38,1
39,1
40,5
41,5
42,2
43,1
44,1
45,4
46,2
47,2
48,2
49,4
50,5
51,2
52,6
53,4
54,1
55,3
56,5
57,5
58,1
59,6
60,1
61,4
62,1
63,4
64,1
65,5
66,2
67,1
68,2
69,2
70,2
71,1
72,5
73,6
74,7
75,8
76,2
77,6
78,9
79,9
80,4
81,6
82,2
83,1
84,1
85,9
86,7
87,2
88,1
89,5
90,5
91,4
92,1
93,1
94,1
95,5
96,1
97,5
98,4
99,2
100,6
101,1
102,4
103,4
104,1
105,4
106,1
107,5
108,1
109,2
110,8
111,3
112,2
113,2
114,1
115,1
116,4
117,5
118,1
119,1
120,5
121,1
122,1
123,2
124,1
125,5
126,5
127,10
128,1
129,4
130,2
131,5
132,8
133,1
134,6
135,1
136,4
137,6
138,3
139,9
140,1
141,2
142,1
143,5
144,1
145,6
146,1
147,2
148,5
149,5
150,1
151,2
152,5
153,2
154,5
155,6
156,1
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,2
165,4
166,1
167,5
168,1
169,6
170,6
171,2
172,5
173,5
174,6
175,1
176,2
177,2
178,1
179,6
180,1
181,10
182,1
183,2
184,6
185,4
186,1
187,6
188,1
189,5
190,4
191,4
192,2
193,5
194,5
195,5
196,3
197,1
198,2
199,2
200,1
201,2
202,4
203,7
204,2
205,5
206,2
207,6
208,1
209,5
210,6
211,6
212,5
213,4
214,1
215,2
216,1
217,5
218,2
219,6
220,1
221,1
222,8
223,1
224,1
225,2
226,2
227,1
228,4
229,1
230,1
231,2
232,5
233,4
234,2
235,1
236,1
237,9
238,5
239,5
240,1
241,8
242,5
243,1
244,1
245,2
246,4
247,5
248,2
249,4
250,2
251,1
252,6
253,5
254,3
255,2
256,4
257,5
258,4
259,5
260,2
261,6
262,2
263,2
264,4
265,4
266,4
267,1
268,7
269,1
270,5
271,4
272,2
273,4
274,5
275,1
276,2
277,5
278,1
279,1
280,5
281,4
282,1
283,8
284,5
285,8
286,2
287,5
288,1
289,5
290,1
291,1
292,5
293,10
294,5
295,6
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,5
304,1
305,5
306,2
307,1
308,1
309,5
310,2
311,1
312,3
313,2
314,5
315,6
316,5
317,1
318,5
319,2
320,1
321,1
322,2
323,1
324,2
325,1
326,8
327,6
328,2
329,2
330,5
331,4
332,5
333,5
334,1
335,1
336,5
337,1
338,5
339,5
340,5
341,4
342,4
343,5
344,2
345,1
346,2
347,9
348,5
349,6
350,2
351,1
352,6
353,4
354,6
355,1
356,1
357,5
358,3
359,5
360,2
361,10
362,1
363,1
364,2
365,5
366,6
367,5
368,2
369,4
370,6
371,2
372,2
373,4
374,5
375,2
376,4
377,1
378,2
379,1
380,4
381,5
382,2
383,8
384,2
385,4
386,9
387,1
388,1
389,1
390,6
391,5
392,1
393,5
394,2
395,4
396,5
397,1
398,7
399,5
400,6
401,6
402,1
403,4
404,1
405,2
406,2
407,2
408,4
409,2
410,1
411,1
412,4
413,8
414,5
415,2
416,1
417,9
418,1
419,5
420,5
421,2
422,2
423,4
424,6
425,1
426,4
427,2
428,4
429,5
430,2
431,5
432,1
433,2
434,4
435,5
436,1
437,1
438,2
439,5
440,5
441,4
442,5
443,5
444,1
445,6
446,5
447,1
448,1
449,2
450,1
451,4
452,2
453,1
454,1
455,4
456,10
457,3
458,4
459,5
460,6
461,4
462,1
463,5
464,2
465,5
466,1
467,1
468,1
469,1
470,8
471,1
472,1
473,2
474,1
475,2
476,5
477,6
478,6
479,6
480,6
481,2
482,5
483,4
484,5
485,4
486,3
487,5
488,5
489,5
490,1
491,2
492,4
493,5
494,6
495,2
496,4
497,3
498,6
499,5
500,2
501,1
502,1
503,1
504,4
505,5
506,2
507,1
508,5
509,9
510,1
511,4
512,5
513,1
514,2
515,5
516,5
517,2
518,6
519,1
520,1
521,3
522,5
523,1
524,1
525,1
526,1
527,5
528,1
529,5
530,6
531,2
532,5
533,4
534,5
535,1
536,5
537,1
538,1
539,1
540,4
541,1
542,1
543,5
544,4
545,3
546,1
547,2
548,8
549,5
550,6
551,4
552,4
553,6
554,5
555,5
556,2
557,5
558,5
559,5
560,4
561,1
562,1
563,2
564,9
565,1
566,6
567,5
568,10
569,2
570,5
571,8
572,1
573,1
574,5
575,4
576,3
577,4
578,1
579,4
580,2
581,5
582,4
583,1
584,5
585,4
586,5
587,1
588,2
589,4
590,1
591,1
592,6
593,5
594,4
595,2
596,1
597,9
598,8
599,4
600,4
601,9
602,2
603,1
604,2
605,1
606,1
607,1
608,4
609,2
610,5
611,6
612,1
613,6
614,9
615,5
616,9
617,1
618,1
619,2
620,5
621,1
622,1
623,5
624,5
625,2
