Sample_id,Sample_label
1,3
2,9
3,1
4,1
5,1
6,1
7,5
8,8
9,5
10,9
11,1
12,4
13,1
14,6
15,4
16,8
17,6
18,1
19,3
20,2
21,2
22,6
23,1
24,1
25,1
26,4
27,3
28,8
29,5
30,1
31,10
32,1
33,1
34,5
35,4
36,4
37,1
38,1
39,1
40,1
41,6
42,2
43,1
44,8
45,4
46,2
47,4
48,1
49,4
50,1
51,1
52,6
53,4
54,1
55,6
56,2
57,9
58,1
59,6
60,6
61,1
62,6
63,4
64,1
65,6
66,2
67,1
68,4
69,2
70,1
71,8
72,7
73,6
74,5
75,1
76,2
77,1
78,3
79,9
80,4
81,6
82,2
83,1
84,2
85,3
86,1
87,4
88,3
89,8
90,6
91,6
92,7
93,1
94,1
95,5
96,8
97,5
98,4
99,7
100,5
101,1
102,4
103,4
104,7
105,4
106,6
107,8
108,1
109,2
110,10
111,2
112,6
113,1
114,1
115,1
116,7
117,1
118,1
119,1
120,6
121,1
122,1
123,6
124,1
125,5
126,1
127,8
128,1
129,3
130,2
131,5
132,8
133,1
134,6
135,1
136,4
137,6
138,9
139,9
140,1
141,1
142,1
143,1
144,1
145,10
146,1
147,1
148,7
149,9
150,1
151,1
152,6
153,2
154,4
155,4
156,1
157,8
158,8
159,6
160,5
161,1
162,6
163,5
164,2
165,4
166,6
167,8
168,1
169,4
170,5
171,2
172,5
173,5
174,6
175,1
176,1
177,2
178,1
179,6
180,1
181,1
182,1
183,2
184,6
185,1
186,1
187,6
188,1
189,1
190,1
191,7
192,2
193,7
194,9
195,7
196,3
197,3
198,1
199,10
200,1
201,2
202,1
203,7
204,1
205,2
206,1
207,6
208,4
209,5
210,3
211,6
212,5
213,4
214,1
215,1
216,5
217,1
218,2
219,6
220,1
221,5
222,8
223,1
224,5
225,4
226,2
227,1
228,4
229,3
230,1
231,7
232,6
233,7
234,1
235,7
236,1
237,1
238,5
239,1
240,1
241,8
242,1
243,5
244,4
245,6
246,4
247,3
248,2
249,7
250,2
251,1
252,6
253,5
254,3
255,1
256,2
257,1
258,4
259,7
260,2
261,6
262,1
263,1
264,7
265,4
266,4
267,1
268,6
269,1
270,5
271,4
272,2
273,4
274,6
275,8
276,2
277,5
278,1
279,5
280,1
281,4
282,1
283,1
284,5
285,8
286,3
287,5
288,10
289,8
290,1
291,1
292,7
293,10
294,1
295,6
296,4
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,3
306,3
307,1
308,1
309,1
310,5
311,8
312,3
313,2
314,7
315,6
316,3
317,3
318,1
319,2
320,1
321,8
322,2
323,5
324,2
325,1
326,8
327,6
328,1
329,1
330,1
331,4
332,1
333,8
334,1
335,1
336,10
337,5
338,5
339,3
340,4
341,8
342,4
343,1
344,3
345,1
346,2
347,6
348,5
349,5
350,1
351,1
352,7
353,6
354,6
355,5
356,1
357,5
358,3
359,8
360,1
361,8
362,5
363,8
364,3
365,5
366,3
367,1
368,2
369,4
370,4
371,1
372,2
373,7
374,10
375,1
376,6
377,2
378,1
379,6
380,7
381,8
382,1
383,8
384,2
385,4
386,6
387,3
388,1
389,1
390,4
391,5
392,1
393,5
394,1
395,4
396,7
397,1
398,4
399,8
400,8
401,6
402,1
403,4
404,2
405,2
406,2
407,5
408,6
409,1
410,1
411,1
412,7
413,8
414,7
415,2
416,1
417,9
418,1
419,6
420,5
421,1
422,2
423,2
424,4
425,1
426,4
427,2
428,1
429,5
430,5
431,8
432,1
433,2
434,4
435,7
436,5
437,8
438,3
439,5
440,4
441,7
442,5
443,5
444,8
445,6
446,3
447,1
448,6
449,9
450,8
451,8
452,2
453,1
454,1
455,2
456,10
457,3
458,8
459,5
460,10
461,8
462,1
463,10
464,1
465,5
466,5
467,10
468,1
469,6
470,8
471,6
472,1
473,2
474,1
475,2
476,1
477,1
478,6
479,6
480,6
481,2
482,10
483,10
484,9
485,1
486,3
487,1
488,1
489,7
490,2
491,1
492,6
493,1
494,6
495,1
496,2
497,3
498,6
499,1
500,10
501,6
502,1
503,10
504,1
505,5
506,2
507,1
508,8
509,2
510,1
511,4
512,9
513,1
514,2
515,9
516,5
517,2
518,6
519,1
520,1
521,3
522,5
523,8
524,1
525,1
526,10
527,5
528,1
529,5
530,4
531,2
532,1
533,4
534,5
535,1
536,1
537,2
538,8
539,3
540,4
541,1
542,3
543,5
544,5
545,1
546,3
547,2
548,8
549,5
550,5
551,1
552,5
553,10
554,1
555,8
556,2
557,1
558,7
559,6
560,2
561,1
562,1
563,2
564,1
565,1
566,1
567,1
568,3
569,2
570,4
571,8
572,1
573,1
574,5
575,2
576,3
577,1
578,1
579,5
580,2
581,3
582,4
583,1
584,5
585,7
586,1
587,1
588,1
589,6
590,5
591,1
592,7
593,1
594,1
595,9
596,1
597,9
598,8
599,4
600,1
601,5
602,7
603,10
604,5
605,6
606,1
607,1
608,7
609,2
610,1
611,8
612,1
613,6
614,6
615,5
616,9
617,1
618,1
619,2
620,1
621,1
622,1
623,1
624,1
625,2
626,7
627,5
628,5
629,5
630,4
631,6
632,1
633,2
634,6
635,1
636,4
637,9
638,1
639,1
640,2
641,1
642,4
643,8
644,8
645,1
646,1
647,2
648,10
649,4
650,5
651,3
652,1
653,6
654,3
655,6
656,8
657,4
658,7
659,1
660,4
661,3
662,1
663,4
664,4
665,4
666,1
667,9
668,1
669,3
670,8
671,7
672,7
673,1
674,6
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,2
685,4
686,1
687,5
688,4
689,2
690,1
691,1
692,4
693,10
694,1
695,1
696,1
697,1
698,6
699,1
700,4
701,2
702,2
703,1
704,7
705,7
706,2
707,1
708,10
709,7
710,1
711,1
712,2
713,5
714,1
715,7
716,6
717,1
718,9
719,1
720,1
721,6
722,2
723,6
724,7
725,4
726,7
727,5
728,2
729,1
730,4
731,1
732,2
733,1
734,4
735,7
736,5
737,1
738,2
739,4
740,1
741,1
742,6
743,4
744,8
745,10
746,10
747,7
748,10
749,7
750,6
751,6
752,3
753,1
754,6
755,6
756,5
757,7
758,1
759,6
760,1
761,2
762,1
763,1
764,6
765,1
766,5
767,1
768,4
769,1
770,1
771,1
772,1
773,6
774,1
775,5
776,5
777,1
778,4
779,1
780,5
781,1
782,7
783,1
784,9
785,8
786,1
787,2
788,3
789,1
790,1
791,2
792,1
793,8
794,3
795,2
796,1
797,5
798,8
799,1
800,1
801,8
802,1
803,4
804,1
805,6
806,5
807,1
808,1
809,5
810,2
811,1
812,1
813,2
814,1
815,2
816,1
817,2
818,1
819,6
820,6
821,1
822,1
823,2
824,1
825,6
826,4
827,1
828,1
829,10
830,2
831,8
832,9
833,8
834,7
835,8
836,1
837,1
838,5
839,7
840,8
841,2
842,4
843,10
844,1
845,5
846,5
847,7
848,6
849,8
850,3
851,4
852,1
853,2
854,1
855,5
856,4
857,1
858,2
859,9
860,1
861,1
862,2
863,2
864,1
865,6
866,3
867,1
868,3
869,9
870,2
871,1
872,5
873,1
874,8
875,6
876,10
877,4
878,5
879,8
880,8
881,2
882,4
883,4
884,2
885,5
886,6
887,4
888,1
889,4
890,1
891,4
892,1
893,7
894,1
895,1
896,1
897,7
898,4
899,2
900,6
901,8
902,2
903,3
904,5
905,5
906,2
907,1
908,8
909,1
910,2
911,1
912,6
913,10
914,1
915,1
916,5
917,1
918,4
919,1
920,1
921,5
922,1
923,1
924,1
925,7
926,6
927,1
928,1
929,7
930,8
931,2
932,1
933,2
934,2
935,4
936,1
937,1
938,5
939,4
940,6
941,5
942,4
943,4
944,3
945,1
946,1
947,1
948,4
949,2
950,2
951,2
952,7
953,1
954,10
955,1
956,6
957,1
958,9
959,1
960,10
961,3
962,4
963,10
964,1
965,6
966,7
967,6
968,6
969,5
970,3
971,4
972,1
973,1
974,10
975,6
976,3
977,4
978,2
979,6
980,2
981,2
982,1
983,1
984,1
985,8
986,1
987,4
988,6
989,4
990,3
991,1
992,10
993,6
994,1
995,4
996,6
997,6
998,6
999,3
1000,1
1001,1
1002,1
1003,8
1004,3
1005,2
1006,1
1007,1
1008,1
1009,1
1010,8
1011,1
1012,6
1013,2
1014,1
1015,9
1016,8
1017,1
1018,1
1019,1
1020,1
1021,1
1022,3
1023,1
1024,10
1025,8
1026,3
1027,5
1028,4
1029,1
1030,8
1031,3
1032,2
1033,1
1034,3
1035,2
1036,4
1037,6
1038,4
1039,1
1040,6
1041,4
1042,2
1043,6
1044,4
1045,5
1046,10
1047,1
1048,3
1049,6
1050,1
1051,1
1052,1
1053,1
1054,7
1055,1
1056,3
1057,5
1058,1
1059,4
1060,1
1061,5
1062,7
1063,1
1064,2
1065,1
1066,8
1067,7
1068,6
1069,1
1070,3
1071,4
1072,6
1073,5
1074,1
1075,4
1076,5
1077,4
1078,4
1079,6
1080,6
1081,1
1082,2
1083,1
1084,2
1085,1
1086,1
1087,1
1088,1
1089,8
1090,5
1091,1
1092,6
1093,1
1094,6
1095,4
1096,1
1097,2
1098,8
1099,1
1100,10
1101,1
1102,1
1103,7
1104,1
1105,2
1106,5
1107,4
1108,1
1109,4
1110,1
1111,10
1112,3
1113,6
1114,5
1115,10
1116,6
1117,3
1118,9
1119,1
1120,10
1121,2
1122,5
1123,1
1124,4
1125,6
1126,2
1127,8
1128,1
1129,5
1130,4
1131,4
1132,3
1133,5
1134,1
1135,5
1136,1
1137,6
1138,5
1139,6
1140,1
1141,8
1142,4
1143,7
1144,6
1145,1
1146,1
1147,2
1148,7
1149,4
1150,1
1151,2
1152,10
1153,1
1154,1
1155,2
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,3
1163,8
1164,1
1165,2
1166,2
1167,4
1168,4
1169,7
1170,3
1171,1
1172,2
1173,6
1174,5
1175,2
1176,9
1177,5
1178,9
1179,1
1180,2
1181,1
1182,2
1183,6
1184,4
1185,4
1186,2
1187,8
1188,4
1189,7
1190,1
1191,1
1192,6
1193,1
1194,10
1195,1
1196,1
1197,3
1198,7
1199,3
1200,2
1201,2
1202,1
1203,3
1204,5
1205,1
1206,9
1207,6
1208,2
1209,2
1210,8
1211,9
1212,1
1213,1
1214,1
1215,10
1216,4
1217,5
1218,6
1219,5
1220,4
1221,1
1222,2
1223,6
1224,6
1225,6
1226,1
1227,2
1228,1
1229,4
1230,6
1231,4
1232,2
1233,2
1234,2
1235,1
1236,8
1237,5
1238,6
1239,1
1240,4
1241,9
1242,1
1243,3
1244,5
1245,1
1246,4
1247,8
1248,2
1249,4
1250,1
1251,4
1252,5
1253,2
1254,1
1255,2
1256,1
1257,9
1258,4
1259,5
1260,5
1261,10
1262,1
1263,1
1264,1
1265,8
1266,9
1267,1
1268,3
1269,4
1270,7
1271,5
1272,4
1273,6
1274,4
1275,1
