Sample_id,Sample_label
1,3.0
2,9.0
3,1.0
4,1.0
5,1.0
6,1.0
7,5.0
8,8.0
9,5.0
10,9.0
11,1.0
12,4.0
13,1.0
14,6.0
15,4.0
16,8.0
17,6.0
18,1.0
19,3.0
20,2.0
21,2.0
22,6.0
23,1.0
24,1.0
25,1.0
26,4.0
27,3.0
28,8.0
29,5.0
30,1.0
31,10.0
32,1.0
33,1.0
34,5.0
35,4.0
36,4.0
37,1.0
38,1.0
39,1.0
40,1.0
41,6.0
42,2.0
43,1.0
44,8.0
45,4.0
46,2.0
47,4.0
48,1.0
49,4.0
50,1.0
51,1.0
52,6.0
53,4.0
54,1.0
55,6.0
56,2.0
57,9.0
58,1.0
59,6.0
60,6.0
61,1.0
62,6.0
63,4.0
64,1.0
65,6.0
66,2.0
67,1.0
68,4.0
69,2.0
70,1.0
71,8.0
72,7.0
73,6.0
74,5.0
75,1.0
76,2.0
77,1.0
78,3.0
79,9.0
80,4.0
81,6.0
82,2.0
83,1.0
84,2.0
85,3.0
86,1.0
87,4.0
88,3.0
89,8.0
90,6.0
91,6.0
92,7.0
93,1.0
94,1.0
95,5.0
96,8.0
97,5.0
98,4.0
99,7.0
100,5.0
101,1.0
102,4.0
103,4.0
104,7.0
105,4.0
106,6.0
107,8.0
108,1.0
109,2.0
110,10.0
111,2.0
112,6.0
113,1.0
114,1.0
115,1.0
116,7.0
117,1.0
118,1.0
119,1.0
120,6.0
121,1.0
122,1.0
123,6.0
124,1.0
125,5.0
126,1.0
127,8.0
128,1.0
129,3.0
130,2.0
131,5.0
132,8.0
133,1.0
134,6.0
135,1.0
136,4.0
137,6.0
138,9.0
139,9.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,10.0
146,1.0
147,1.0
148,7.0
149,9.0
150,1.0
151,1.0
152,6.0
153,2.0
154,4.0
155,4.0
156,1.0
157,8.0
158,8.0
159,6.0
160,5.0
161,1.0
162,6.0
163,5.0
164,2.0
165,4.0
166,6.0
167,8.0
168,1.0
169,4.0
170,5.0
171,2.0
172,5.0
173,5.0
174,6.0
175,1.0
176,1.0
177,2.0
178,1.0
179,6.0
180,1.0
181,1.0
182,1.0
183,2.0
184,6.0
185,1.0
186,1.0
187,6.0
188,1.0
189,1.0
190,1.0
191,7.0
192,2.0
193,7.0
194,9.0
195,7.0
196,3.0
197,3.0
198,1.0
199,10.0
200,1.0
201,2.0
202,1.0
203,7.0
204,1.0
205,2.0
206,1.0
207,6.0
208,4.0
209,5.0
210,3.0
211,6.0
212,5.0
213,4.0
214,1.0
215,1.0
216,5.0
217,1.0
218,2.0
219,6.0
220,1.0
221,5.0
222,8.0
223,1.0
224,5.0
225,4.0
226,2.0
227,1.0
228,4.0
229,3.0
230,1.0
231,7.0
232,6.0
233,7.0
234,1.0
235,7.0
236,1.0
237,1.0
238,5.0
239,1.0
240,1.0
241,8.0
242,1.0
243,5.0
244,4.0
245,6.0
246,4.0
247,3.0
248,2.0
249,7.0
250,2.0
251,1.0
252,6.0
253,5.0
254,3.0
255,1.0
256,2.0
257,1.0
258,4.0
259,7.0
260,2.0
261,6.0
262,1.0
263,1.0
264,7.0
265,4.0
266,4.0
267,1.0
268,6.0
269,1.0
270,5.0
271,4.0
272,2.0
273,4.0
274,6.0
275,8.0
276,2.0
277,5.0
278,1.0
279,5.0
280,1.0
281,4.0
282,1.0
283,1.0
284,5.0
285,8.0
286,3.0
287,5.0
288,10.0
289,8.0
290,1.0
291,1.0
292,7.0
293,10.0
294,1.0
295,6.0
296,4.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,1.0
305,3.0
306,3.0
307,1.0
308,1.0
309,1.0
310,5.0
311,8.0
312,3.0
313,2.0
314,7.0
315,6.0
316,3.0
317,3.0
318,1.0
319,2.0
320,1.0
321,8.0
322,2.0
323,5.0
324,2.0
325,1.0
326,8.0
327,6.0
328,1.0
329,1.0
330,1.0
331,4.0
332,1.0
333,8.0
334,1.0
335,1.0
336,10.0
337,5.0
338,5.0
339,3.0
340,4.0
341,8.0
342,4.0
343,1.0
344,3.0
345,1.0
346,2.0
347,6.0
348,5.0
349,5.0
350,1.0
351,1.0
352,7.0
353,6.0
354,6.0
355,5.0
356,1.0
357,5.0
358,3.0
359,8.0
360,1.0
361,8.0
362,5.0
363,8.0
364,3.0
365,5.0
366,3.0
367,1.0
368,2.0
369,4.0
370,4.0
371,1.0
372,2.0
373,7.0
374,10.0
375,1.0
376,6.0
377,2.0
378,1.0
379,6.0
380,7.0
381,8.0
382,1.0
383,8.0
384,2.0
385,4.0
386,6.0
387,3.0
388,1.0
389,1.0
390,4.0
391,5.0
392,1.0
393,5.0
394,1.0
395,4.0
396,7.0
397,1.0
398,4.0
399,8.0
400,8.0
401,6.0
402,1.0
403,4.0
404,2.0
405,2.0
406,2.0
407,5.0
408,6.0
409,1.0
410,1.0
411,1.0
412,7.0
413,8.0
414,7.0
415,2.0
416,1.0
417,9.0
418,1.0
419,6.0
420,5.0
421,1.0
422,2.0
423,2.0
424,4.0
425,1.0
426,4.0
427,2.0
428,1.0
429,5.0
430,5.0
431,8.0
432,1.0
433,2.0
434,4.0
435,7.0
436,5.0
437,8.0
438,3.0
439,5.0
440,4.0
441,7.0
442,5.0
443,5.0
444,8.0
445,6.0
446,3.0
447,1.0
448,6.0
449,9.0
450,8.0
451,8.0
452,2.0
453,1.0
454,1.0
455,2.0
456,10.0
457,3.0
458,8.0
459,5.0
460,10.0
461,8.0
462,1.0
463,10.0
464,1.0
465,5.0
466,5.0
467,10.0
468,1.0
469,6.0
470,8.0
471,6.0
472,1.0
473,2.0
474,1.0
475,2.0
476,1.0
477,1.0
478,6.0
479,6.0
480,6.0
481,2.0
482,10.0
483,10.0
484,9.0
485,1.0
486,3.0
487,1.0
488,1.0
489,7.0
490,2.0
491,1.0
492,6.0
493,1.0
494,6.0
