Sample_id,Sample_label
1,4
2,9
3,8
4,2
5,7
6,8
7,4
8,8
9,8
10,2
11,8
12,4
13,2
14,4
15,4
16,4
17,4
18,2
19,6
20,4
21,2
22,7
23,4
24,4
25,2
26,4
27,4
28,8
29,8
30,8
31,4
32,2
33,7
34,4
35,4
36,4
37,7
38,5
39,5
40,4
41,7
42,2
43,6
44,4
45,4
46,2
47,4
48,2
49,4
50,4
51,2
52,6
53,4
54,8
55,3
56,9
57,4
58,2
59,6
60,2
61,4
62,4
63,4
64,8
65,4
66,2
67,7
68,4
69,4
70,5
71,8
72,5
73,4
74,4
75,8
76,2
77,2
78,9
79,6
80,4
81,9
82,8
83,8
84,4
85,9
86,8
87,4
88,4
89,4
90,8
91,4
92,2
93,8
94,5
95,5
96,7
97,6
98,4
99,2
100,5
101,8
102,4
103,4
104,8
105,4
106,2
107,8
108,7
109,4
110,4
111,4
112,2
113,8
114,8
115,8
116,4
117,2
118,7
119,5
120,5
121,5
122,5
123,4
124,7
125,3
126,4
127,7
128,5
129,4
130,4
131,5
132,8
133,5
134,4
135,4
136,4
137,6
138,3
139,6
140,7
141,7
142,8
143,7
144,8
145,4
146,8
147,2
148,5
149,5
150,2
151,4
152,5
153,2
154,4
155,4
156,4
157,8
158,8
159,4
160,4
161,8
162,4
163,8
164,4
165,4
166,4
167,8
168,5
169,4
170,4
171,4
172,5
173,8
174,4
175,4
176,2
177,2
178,4
179,8
180,4
181,8
182,7
183,2
184,6
185,4
186,5
187,6
188,5
189,4
190,4
191,4
192,2
193,7
194,9
195,4
196,3
197,3
198,2
199,2
200,4
201,4
202,4
203,4
204,2
205,4
206,4
207,6
208,7
209,4
210,3
211,4
212,4
213,4
214,4
215,8
216,4
217,8
218,2
219,4
220,2
221,4
222,5
223,2
224,7
225,4
226,2
227,5
228,4
229,3
230,2
231,7
232,4
233,4
234,5
235,8
236,8
237,3
238,4
239,8
240,5
241,8
242,7
243,8
244,4
245,5
246,4
247,9
248,4
249,2
250,2
251,8
252,4
253,7
254,3
255,5
256,4
257,8
258,4
259,8
260,4
261,6
262,4
263,5
264,4
265,4
266,4
267,5
268,8
269,7
270,8
271,4
272,4
273,6
274,4
275,8
276,5
277,5
278,8
279,4
280,5
281,4
282,5
283,8
284,5
285,8
286,2
287,5
288,8
289,4
290,4
291,2
292,8
293,9
294,8
295,5
296,4
297,7
298,4
299,8
300,8
301,8
302,8
303,8
304,5
305,4
306,2
307,8
308,4
309,5
310,7
311,8
312,3
313,4
314,4
315,6
316,9
317,3
318,8
319,2
320,7
321,2
322,4
323,8
324,5
325,8
326,8
327,6
328,4
329,4
330,8
331,4
332,8
333,8
334,8
335,8
336,8
337,8
338,5
339,6
340,4
341,4
342,4
343,8
344,2
345,8
346,2
347,6
348,5
349,4
350,2
351,7
352,6
353,6
354,4
355,7
356,7
357,8
358,3
359,7
360,7
361,8
362,5
363,8
364,3
365,4
366,3
367,8
368,4
369,4
370,4
371,5
372,2
373,7
374,8
375,2
376,4
377,4
378,2
379,2
380,4
381,8
382,2
383,8
384,2
385,7
386,6
387,3
388,2
389,2
390,4
391,4
392,7
393,6
394,5
395,4
396,5
397,2
398,4
399,8
400,8
401,2
402,2
403,4
404,4
405,4
406,2
407,2
408,4
409,2
410,7
411,8
412,4
413,8
414,8
415,2
416,5
417,4
418,8
419,4
420,5
421,4
422,4
423,7
424,4
425,8
426,4
427,2
428,4
429,6
430,5
431,4
432,8
433,2
434,4
435,8
436,4
437,3
438,6
439,4
440,4
441,4
442,8
443,5
444,8
445,6
446,3
447,5
448,8
449,4
450,8
451,7
452,4
453,8
454,4
455,4
456,5
457,3
458,4
459,5
460,8
461,4
462,2
463,4
464,7
465,8
466,8
467,5
468,7
469,4
470,8
471,5
472,5
473,4
474,8
475,2
476,4
477,4
478,5
479,4
480,6
481,4
482,8
483,4
484,4
485,4
486,3
487,8
488,5
489,8
490,4
491,4
492,4
493,5
494,6
495,2
496,4
497,3
498,4
499,8
500,8
501,4
502,8
503,8
504,8
505,4
506,2
507,2
508,8
509,6
510,7
511,4
512,4
513,2
514,2
515,9
516,4
517,4
518,4
519,5
520,8
521,3
522,8
523,5
524,5
525,2
526,7
527,5
528,4
529,4
530,6
531,2
532,8
533,4
534,5
535,8
536,5
537,2
538,5
539,3
540,4
541,4
542,3
543,4
544,4
545,2
546,2
547,4
548,8
549,5
550,5
551,4
552,4
553,8
554,4
555,8
556,2
557,5
558,4
559,4
560,4
561,5
562,4
563,4
564,9
565,4
566,8
567,4
568,4
569,2
570,4
571,8
572,5
573,5
574,5
575,4
576,3
577,4
578,2
579,4
580,2
581,6
582,4
583,5
584,4
585,4
586,5
587,5
588,8
589,4
590,5
591,2
592,5
593,7
594,4
595,2
596,8
597,4
598,8
599,4
600,4
601,5
602,4
603,5
604,5
605,4
606,5
607,2
608,8
609,4
610,2
611,8
612,7
613,6
614,6
615,8
616,6
617,4
618,7
619,4
620,5
621,5
622,4
623,8
624,5
625,2
626,5
627,4
628,2
629,5
630,4
631,4
632,2
633,2
634,4
635,4
636,4
637,3
638,2
639,5
640,4
641,2
642,4
643,8
644,8
645,8
646,7
647,4
648,4
649,4
650,8
651,3
652,4
653,6
654,4
655,4
656,8
657,4
658,4
659,5
660,4
661,3
662,8
663,4
664,4
665,4
666,4
667,4
668,8
669,9
670,8
671,4
672,4
673,2
674,8
675,8
676,5
677,5
678,8
679,7
680,2
681,8
682,8
683,2
684,4
685,4
686,4
687,5
688,4
689,4
690,2
691,5
692,4
693,2
694,2
695,4
696,7
697,5
698,6
699,4
700,2
701,2
702,4
703,5
704,4
705,4
706,4
707,2
708,4
709,4
710,5
711,5
712,4
713,5
714,5
715,4
716,5
717,2
718,9
719,4
720,2
721,4
722,4
723,4
724,2
725,4
726,4
727,9
728,7
729,8
730,4
731,5
732,4
733,4
734,4
735,8
736,5
737,2
738,4
739,4
740,7
741,4
742,4
743,4
744,8
745,4
746,9
747,4
748,8
749,4
750,8
751,8
752,3
753,4
754,7
755,4
756,6
757,4
758,7
759,5
760,5
761,4
762,2
763,2
764,4
765,8
766,5
767,8
768,4
769,8
770,2
771,8
772,8
773,5
774,8
775,5
776,4
777,8
778,5
779,8
780,4
781,5
782,8
783,5
784,4
785,4
786,8
787,2
788,3
789,8
790,4
791,2
792,5
793,8
794,3
795,4
796,4
797,4
798,8
799,2
800,9
801,8
802,4
803,4
804,4
805,5
806,2
807,4
808,5
809,5
810,2
811,5
812,5
813,2
814,8
815,2
816,8
817,4
818,4
819,5
820,4
821,2
822,4
823,2
824,8
825,6
826,4
827,8
828,2
829,8
830,4
831,8
832,5
833,8
834,8
835,5
836,4
837,2
838,4
839,5
840,8
841,2
842,4
843,8
844,4
845,5
846,4
847,4
848,6
849,8
850,4
851,4
852,5
853,4
854,4
855,8
856,4
857,8
858,4
859,6
860,4
861,2
862,4
863,2
864,8
865,4
866,3
867,8
868,4
869,5
870,4
871,5
